meter_frame,measured_lux,calculated_lux,delta_lux,error_pct,error_stops,dist_to_fix_m,gamma_fix_deg,meter_tx,meter_ty,meter_tz,meter_qx,meter_qy,meter_qz,meter_qw
4340,3.5000,0.0000,-3.5000,-100.0000,-11.7731,1.5398,159.096,541.293152,1438.454224,-94.097725,0.005271,-0.947485,-0.140241,-0.287363
4358,3.8000,0.0000,-3.8000,-100.0000,-11.8918,1.4911,156.648,589.508789,1368.974243,-42.586643,0.016741,-0.883444,-0.148853,-0.443948
4392,4.0000,0.0000,-4.0000,-100.0000,-11.9658,1.4134,164.507,340.648376,1362.061035,162.787613,0.107269,-0.653626,-0.150643,-0.733876
4409,4.4000,0.0000,-4.4000,-100.0000,-12.1033,1.3876,170.767,102.864220,1369.655151,197.450409,0.141209,-0.568557,-0.133924,-0.799292
4443,4.0000,0.0000,-4.0000,-100.0000,-11.9658,1.5584,162.586,-457.411743,1487.004395,91.085938,0.127048,-0.494194,-0.105699,-0.853498
4494,3.8000,0.0000,-3.8000,-100.0000,-11.8918,1.8057,148.323,-945.230957,1536.710327,75.543663,0.124210,-0.545399,-0.078755,-0.825172
4511,3.5000,0.0000,-3.5000,-100.0000,-11.7731,1.8912,145.073,-1075.529419,1550.554077,124.955109,0.103826,-0.559247,-0.077876,-0.818779
4581,3.3000,0.0000,-3.3000,-100.0000,-11.6883,2.3532,134.187,-1592.828735,1640.205933,557.116821,0.071487,-0.699631,-0.075012,-0.706951
4785,3.0000,0.0000,-3.0000,-100.0000,-11.5507,3.2123,120.949,-1396.300293,1651.998535,2374.893555,0.103758,-0.787359,-0.125492,-0.594602
4888,2.9000,0.0000,-2.9000,-100.0000,-11.5018,2.6444,117.512,-1278.507446,1221.561401,1966.275269,0.066070,-0.699731,-0.100345,-0.704232
5024,2.5000,0.0000,-2.5000,-100.0000,-11.2877,1.8526,131.216,-1273.450317,1220.671875,565.989014,0.047243,-0.610292,-0.038892,-0.789809
5042,2.5000,0.0000,-2.5000,-100.0000,-11.2877,1.7623,131.894,-1248.550903,1176.770874,402.496338,0.043946,-0.616343,-0.047830,-0.784795
5059,2.7000,0.0000,-2.7000,-100.0000,-11.3987,1.6828,130.173,-1255.293945,1085.545044,278.402802,0.040847,-0.630428,-0.043169,-0.773970
5076,2.5000,0.0000,-2.5000,-100.0000,-11.2877,1.6152,126.783,-1275.657227,967.146545,214.723328,0.006035,-0.653222,-0.092955,-0.751414
5110,2.7000,0.0000,-2.7000,-100.0000,-11.3987,1.5669,120.287,-1317.950806,790.246704,306.234375,-0.029931,-0.615127,-0.109940,-0.780151
5126,2.9000,0.0000,-2.9000,-100.0000,-11.5018,1.6194,117.665,-1373.898926,751.890564,411.779053,-0.010763,-0.615584,-0.136442,-0.776095
5143,2.7000,0.0000,-2.7000,-100.0000,-11.3987,1.7160,114.509,-1458.032593,711.878967,558.742126,-0.015845,-0.650358,-0.167841,-0.740684
5248,2.9000,0.0000,-2.9000,-100.0000,-11.5018,2.5547,110.752,-1656.505737,905.180237,1721.324097,-0.037690,-0.635382,-0.128304,-0.760531
5333,3.0000,0.0000,-3.0000,-100.0000,-11.5507,3.0465,120.791,-1645.466064,1559.533691,2035.013794,-0.031350,-0.637223,-0.010560,-0.769969
5350,3.3000,0.0000,-3.3000,-100.0000,-11.6883,3.0196,123.083,-1633.769043,1648.256470,1931.833496,-0.007169,-0.628758,0.006120,-0.777544
5400,3.0000,0.0000,-3.0000,-100.0000,-11.5507,2.8595,127.006,-1685.799561,1721.131592,1540.330811,0.023994,-0.702909,0.042490,-0.709604
5485,2.9000,0.0000,-2.9000,-100.0000,-11.5018,2.7519,129.016,-1975.475830,1732.429199,818.010315,0.017273,-0.739725,0.007037,-0.672650
5572,2.7000,0.0000,-2.7000,-100.0000,-11.3987,2.6511,128.169,-2078.616943,1638.317749,152.910690,0.021564,-0.747896,-0.036217,-0.662476
5675,2.5000,0.0000,-2.5000,-100.0000,-11.2877,3.2055,116.288,-2792.341797,1419.675415,680.116577,0.060424,-0.715030,-0.063878,-0.693542
5691,2.3000,0.0000,-2.3000,-100.0000,-11.1674,3.3115,115.736,-2845.263184,1437.910278,895.937805,0.046137,-0.688614,-0.060417,-0.721132
5708,2.2000,0.0000,-2.2000,-100.0000,-11.1033,3.4215,114.981,-2897.799072,1444.986694,1105.261719,0.050119,-0.668031,-0.056708,-0.740275
5828,2.0000,0.0000,-2.0000,-100.0000,-10.9658,4.5035,107.742,-3646.705078,1372.353149,2258.329346,0.021108,-0.685549,-0.100575,-0.720737
5881,2.3000,0.0000,-2.3000,-100.0000,-11.1674,4.6799,106.928,-3991.146973,1362.651001,2028.606445,0.000690,-0.648916,-0.076568,-0.756997
5931,2.2000,0.0000,-2.2000,-100.0000,-11.1033,4.5197,106.906,-4059.033447,1314.322510,1491.477905,-0.014710,-0.723007,0.014017,-0.690542
5965,2.0000,0.0000,-2.0000,-100.0000,-10.9658,4.3530,107.552,-3999.732666,1312.775146,1107.999390,-0.032034,-0.783450,0.010894,-0.620533
6016,1.9000,0.0000,-1.9000,-100.0000,-10.8918,4.0393,108.496,-3787.420898,1281.434326,574.161377,-0.072376,-0.802897,0.091471,-0.584595
6033,2.0000,0.0000,-2.0000,-100.0000,-10.9658,4.0060,108.580,-3777.561523,1276.410767,385.523499,-0.077986,-0.757642,0.096136,-0.640824
6102,1.8000,0.0000,-1.8000,-100.0000,-10.8138,3.7338,109.780,-3507.639160,1263.545776,-202.266678,-0.128503,-0.685448,0.025643,-0.716234
6118,1.9000,0.0000,-1.9000,-100.0000,-10.8918,3.6809,110.857,-3425.268555,1310.549805,-314.989624,-0.096272,-0.681618,-0.025052,-0.724915
6136,2.2000,0.0000,-2.2000,-100.0000,-11.1033,3.6722,112.315,-3383.949707,1394.315186,-299.332214,-0.054412,-0.669416,-0.062755,-0.738230
6153,2.5000,0.0000,-2.5000,-100.0000,-11.2877,3.7894,112.600,-3496.598633,1456.242676,-111.369743,-0.005878,-0.542269,-0.084065,-0.835968
6189,3.3000,0.0000,-3.3000,-100.0000,-11.6883,4.3416,112.008,-4017.199707,1626.974121,254.665359,0.167572,-0.086859,-0.023585,-0.981743
6204,3.3000,0.0000,-3.3000,-100.0000,-11.6883,4.5241,112.272,-4168.014160,1714.643677,393.438141,0.191307,0.070367,0.010289,-0.978950
6222,3.8000,0.0000,-3.8000,-100.0000,-11.8918,4.7095,112.592,-4315.285156,1809.250977,533.254761,0.207235,0.187342,0.029876,-0.959721
6239,4.0000,0.0000,-4.0000,-100.0000,-11.9658,4.8738,112.622,-4454.720215,1874.698853,628.558960,0.254999,0.257028,0.067007,-0.929743
6273,4.4000,0.0000,-4.4000,-100.0000,-12.1033,5.2184,112.687,-4748.276855,2012.735352,796.411438,0.268347,0.291742,0.147795,-0.906109
6307,4.7000,0.0000,-4.7000,-100.0000,-12.1984,5.5140,112.629,-4987.880859,2121.608398,1011.828369,0.311852,0.343008,0.218668,-0.858649
6325,5.0000,0.0000,-5.0000,-100.0000,-12.2877,5.6538,112.554,-5100.682129,2168.574707,1116.282715,0.335546,0.384195,0.254707,-0.821540
6568,5.4000,0.0000,-5.4000,-100.0000,-12.3987,5.4301,107.395,-4864.975586,1623.413574,1784.069702,-0.047102,-0.166342,0.024081,-0.984648
