Format Version,1.23,Take Name,Illuminance Optitrack_solved,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-05-09 03.20.26.743,Capture Start Frame,1623671,Total Frames in Take,16332,Total Exported Frames,16332,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser,Belichtungsmesser
,ID,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0,CB533F304BA611F1291E8F4A9A9044A0
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
166,1.383000,-0.000764,0.772393,-0.627329,-0.099335,-4122.520651,1327.794925,-2857.777441
167,1.392000,-0.004657,0.770860,-0.627398,-0.110110,-4128.069398,1327.747525,-2852.831180
168,1.400000,-0.008643,0.769505,-0.626963,-0.121263,-4133.614442,1328.062613,-2847.709460
169,1.408000,-0.009544,0.767357,-0.627276,-0.132655,-4138.505500,1328.810926,-2843.070399
170,1.417000,-0.006799,0.762007,-0.630494,-0.147565,-4143.253971,1330.272854,-2837.946827
171,1.425000,-0.003722,0.754017,-0.635877,-0.164635,-4148.178761,1331.736079,-2831.812232
172,1.433000,0.003137,0.747972,-0.638883,-0.179879,-4152.198517,1334.168975,-2827.107144
173,1.442000,-0.004604,0.747865,-0.636923,-0.187098,-4157.871575,1333.752590,-2821.471844
174,1.450000,,,,,,,
175,1.458000,,,,,,,
176,1.467000,,,,,,,
177,1.475000,,,,,,,
178,1.483000,,,,,,,
179,1.492000,,,,,,,
180,1.500000,,,,,,,
181,1.508000,,,,,,,
182,1.517000,-0.069690,0.748890,-0.613640,-0.240318,-4192.375641,1334.060503,-2776.994468
183,1.525000,-0.079266,0.747803,-0.611967,-0.244956,-4195.479135,1333.929651,-2771.653532
184,1.533000,-0.087710,0.746652,-0.610421,-0.249405,-4198.343661,1333.840731,-2766.598024
185,1.542000,-0.095181,0.745818,-0.608275,-0.254358,-4201.073518,1333.947858,-2761.491624
186,1.550000,-0.101202,0.745557,-0.605422,-0.259554,-4203.728524,1334.231233,-2756.548098
187,1.558000,-0.106230,0.744295,-0.603488,-0.265597,-4206.355416,1334.684425,-2751.653833
188,1.567000,,,,,,,
189,1.575000,-0.125856,0.735826,-0.603911,-0.279306,-4210.979249,1334.278011,-2740.082801
190,1.583000,-0.130762,0.733545,-0.603553,-0.283791,-4213.116548,1334.445042,-2735.534263
191,1.592000,-0.136008,0.732412,-0.603771,-0.283785,-4214.772847,1333.820998,-2731.695394
192,1.600000,-0.135939,0.731898,-0.602044,-0.288772,-4216.626603,1335.334621,-2728.395579
193,1.608000,-0.140893,0.730769,-0.600138,-0.293189,-4218.161295,1335.209236,-2723.936737
194,1.617000,-0.144968,0.730243,-0.597580,-0.297705,-4219.470044,1335.209130,-2719.579524
195,1.625000,-0.148501,0.731357,-0.594164,-0.300055,-4220.589707,1334.804720,-2715.692273
196,1.633000,-0.157965,0.735772,-0.586436,-0.299632,-4222.796588,1333.561869,-2711.528461
197,1.642000,-0.167138,0.734673,-0.584607,-0.300925,-4225.277557,1332.125663,-2707.738582
198,1.650000,-0.175456,0.732654,-0.582984,-0.304241,-4227.855272,1330.911474,-2703.890900
199,1.658000,-0.182504,0.730163,-0.580450,-0.310859,-4230.132884,1330.291229,-2699.283049
200,1.667000,-0.189172,0.728879,-0.576599,-0.316990,-4232.098165,1330.057446,-2694.393510
201,1.675000,-0.195637,0.727553,-0.572113,-0.324161,-4233.729310,1330.057075,-2688.999828
202,1.683000,-0.201298,0.726640,-0.563452,-0.337632,-4234.551720,1331.263485,-2682.337455
203,1.692000,-0.215982,0.722837,-0.557564,-0.346383,-4236.841475,1330.703903,-2675.800870
204,1.700000,-0.221615,0.718586,-0.555607,-0.354713,-4238.371777,1330.514928,-2670.994386
205,1.708000,-0.226000,0.714848,-0.553217,-0.363135,-4239.835889,1330.649220,-2666.357492
206,1.717000,-0.232420,0.710243,-0.551375,-0.370838,-4241.659354,1330.236960,-2661.629659
207,1.725000,-0.239173,0.705667,-0.549342,-0.378225,-4243.455152,1329.748999,-2656.849062
208,1.733000,-0.245548,0.701208,-0.547906,-0.384464,-4245.172531,1329.000252,-2652.302842
209,1.742000,-0.251764,0.696224,-0.546311,-0.391704,-4246.896988,1328.284771,-2647.541435
210,1.750000,-0.257999,0.690315,-0.544293,-0.400807,-4248.419285,1327.692375,-2642.308776
211,1.758000,-0.265652,0.684546,-0.542593,-0.407945,-4249.662867,1326.533466,-2637.277010
212,1.767000,-0.273031,0.679605,-0.541558,-0.412682,-4251.001056,1325.120869,-2632.665742
213,1.775000,-0.273678,0.675788,-0.542194,-0.417656,-4252.263577,1324.509692,-2628.806051
214,1.783000,-0.280648,0.670789,-0.540233,-0.423588,-4253.424029,1323.106873,-2623.920343
215,1.792000,-0.287257,0.665481,-0.538246,-0.430011,-4254.461397,1321.643538,-2618.915228
216,1.800000,-0.288169,0.660331,-0.538928,-0.436438,-4256.014870,1321.753391,-2615.462961
217,1.808000,-0.295278,0.655419,-0.536042,-0.442602,-4256.930508,1319.978524,-2610.409872
218,1.817000,-0.300836,0.648730,-0.534148,-0.450925,-4257.493360,1319.002882,-2605.345567
219,1.825000,-0.305871,0.643803,-0.532018,-0.457075,-4258.186920,1317.657094,-2600.758434
220,1.833000,-0.310491,0.638027,-0.530410,-0.463876,-4258.492028,1316.618299,-2596.119912
221,1.842000,-0.315464,0.633006,-0.528665,-0.469359,-4258.757494,1315.468087,-2591.782749
222,1.850000,-0.320443,0.627993,-0.527017,-0.474546,-4258.865901,1314.512834,-2587.672698
223,1.858000,-0.325138,0.623893,-0.525030,-0.478943,-4258.834375,1313.624975,-2583.788630
224,1.867000,-0.331309,0.619723,-0.522913,-0.482432,-4258.644367,1312.529101,-2579.981244
225,1.875000,-0.337466,0.616571,-0.520110,-0.485223,-4258.348262,1311.487213,-2576.339247
226,1.883000,-0.343803,0.613004,-0.517653,-0.487915,-4258.045556,1310.554788,-2572.862715
227,1.892000,-0.350021,0.609357,-0.515186,-0.490665,-4257.721663,1309.646376,-2569.425201
