meter_frame;measured_lux;calculated_lux;delta_lux;error_pct;error_stops;dist_to_fix_m;gamma_fix_deg;meter_tx;meter_ty;meter_tz;meter_qx;meter_qy;meter_qz;meter_qw;calculated_lux_ff;delta_lux_ff;error_pct_ff;error_stops_ff;calculated_lux_kern_10deg;delta_lux_kern_10deg;error_pct_kern_10deg;error_stops_kern_10deg;calculated_lux_kern_5deg;delta_lux_kern_5deg;error_pct_kern_5deg;error_stops_kern_5deg;calculated_lux_revf;delta_lux_revf;error_pct_revf;error_stops_revf
1926;32.0000;20.0382;-11.9618;-37.3807;-0.6753;0.9415;47.075;-637.715454;1078.036377;1540.152588;0.477701;-0.707564;-0.086254;-0.513532;32.0385;0.0385;0.1203;0.0017;691.8730;659.8730;2062.1030;4.4344;343.4449;311.4449;973.2654;3.4239;30.6330;-1.3670;-4.2720;-0.0630
1960;40.0000;32.0272;-7.9728;-19.9321;-0.3207;1.0220;43.844;-731.498657;957.393066;1445.354614;0.575724;-0.550001;-0.046641;-0.603212;40.6356;0.6356;1.5891;0.0227;717.8053;677.8053;1694.5133;4.1655;388.6318;348.6318;871.5795;3.2803;44.1201;4.1201;10.3003;0.1414
1977;62.0000;57.4667;-4.5333;-7.3118;-0.1095;1.0598;42.337;-777.637329;892.233093;1358.724854;0.607163;-0.490515;-0.009986;-0.625019;50.4364;-11.5636;-18.6509;-0.2978;746.5104;684.5104;1104.0490;3.5898;415.1887;353.1887;569.6591;2.7434;66.1373;4.1373;6.6731;0.0932
1995;127.0000;133.4661;6.4661;5.0914;0.0716;1.1015;40.382;-834.313171;840.962280;1246.292847;0.634431;-0.462256;0.024107;-0.619060;40.9598;-86.0402;-67.7482;-1.6325;796.5326;669.5326;527.1910;2.6489;445.2859;318.2859;250.6189;1.8099;140.7011;13.7011;10.7883;0.1478
2011;227.0000;275.2024;48.2024;21.2345;0.2778;1.1290;38.553;-880.112793;824.722473;1151.340698;0.635201;-0.436075;0.038122;-0.636322;187.7162;-39.2838;-17.3056;-0.2741;854.6580;627.6580;276.5013;1.9127;470.8333;243.8333;107.4155;1.0525;242.5230;15.5230;6.8383;0.0954
2028;337.0000;415.3318;78.3318;23.2439;0.3015;1.1745;37.007;-937.662781;807.358398;1031.334473;0.653866;-0.393371;0.071536;-0.642340;249.7825;-87.2175;-25.8805;-0.4321;872.0898;535.0898;158.7804;1.3717;471.0950;134.0950;39.7908;0.4833;320.2164;-16.7836;-4.9803;-0.0737
2046;367.0000;505.3156;138.3156;37.6882;0.4614;1.2132;35.886;-986.665100;813.652283;892.998474;0.653550;-0.368808;0.100679;-0.653235;350.2722;-16.7278;-4.5580;-0.0673;878.2419;511.2419;139.3030;1.2588;482.8371;115.8371;31.5632;0.3958;378.7644;11.7644;3.2056;0.0455
2063;237.0000;346.2368;109.2368;46.0915;0.5469;1.2357;37.116;-993.105835;819.093689;750.407349;0.642499;-0.348260;0.119724;-0.671994;391.0735;154.0735;65.0099;0.7226;781.5573;544.5573;229.7710;1.7215;431.8853;194.8853;82.2301;0.8658;282.5532;45.5532;19.2208;0.2536
2080;127.0000;150.4637;23.4637;18.4754;0.2446;1.2541;39.353;-981.791199;834.823425;609.368347;0.616955;-0.336058;0.162832;-0.692760;122.1287;-4.8713;-3.8356;-0.0564;662.5527;535.5527;421.6950;2.3832;356.6431;229.6431;180.8213;1.4897;155.7235;28.7235;22.6169;0.2942
2097;72.0000;58.7322;-13.2678;-18.4275;-0.2938;1.2840;41.282;-981.275757;860.266296;484.753601;0.582923;-0.320260;0.202727;-0.718704;137.7083;65.7083;91.2616;0.9355;559.6744;487.6744;677.3256;2.9585;286.6862;214.6862;298.1754;1.9934;79.9344;7.9344;11.0200;0.1508
2113;40.0000;29.8139;-10.1861;-25.4652;-0.4240;1.2991;42.639;-977.419922;921.348877;373.397308;0.526060;-0.311172;0.220402;-0.760168;29.8430;-10.1570;-25.3926;-0.4226;502.3323;462.3323;1155.8307;3.6506;240.0388;200.0388;500.0969;2.5852;43.9538;3.9538;9.8846;0.1360
2130;23.0000;12.2949;-10.7051;-46.5440;-0.9036;1.2957;44.871;-946.231384;1007.031372;263.433441;0.458106;-0.332347;0.235344;-0.790125;22.4918;-0.5082;-2.2094;-0.0322;423.6387;400.6387;1741.9073;4.2031;177.6689;154.6689;672.4736;2.9495;22.8176;-0.1824;-0.7931;-0.0115
